Symbol,Name,1D_Chart,Price_intraday,Change,Change_pct
^SMCY-EU,YIELDMAX SMCI OPTION INCOME STR,https://finance.yahoo.com/chart/%5ESMCY-EU,"166,607.48","+105,938.41",+174.62%
^CRSH-TC,YIELDMAX SHORT TSLA OPTION INCO,https://finance.yahoo.com/chart/%5ECRSH-TC,"2,499.41","+6,003.85",+171.32%
^SECR-TC,NYLI MACKAY SECURITIZED INCOME,https://finance.yahoo.com/chart/%5ESECR-TC,105.34,+259.48,+168.34%
^HEEM-EU,iShares Currency Hedged MSCI Em,https://finance.yahoo.com/chart/%5EHEEM-EU,430.99,+270.28,+168.17%
^TNA-EU,Small Cap Bull 3x Shares (Estim,https://finance.yahoo.com/chart/%5ETNA-EU,72.66,+182.97,+165.87%
^VIS-EU,Vanguard Industrials ETF (Estim,https://finance.yahoo.com/chart/%5EVIS-EU,888.70,+553.80,+165.36%
^FSGS-EU,-,https://finance.yahoo.com/chart/%5EFSGS-EU,"1,256.13",+782.06,+164.97%
^AVSC-EU,Avantis U.S Small Cap Equity ET,https://finance.yahoo.com/chart/%5EAVSC-EU,"56,134.65","+34,755.51",+162.57%
^NVDY-EU,-,https://finance.yahoo.com/chart/%5ENVDY-EU,"18,583.49","+48,807.16",+161.49%
^ABNY-EU,YIELDMAX ABNB OPTION INCOME STR,https://finance.yahoo.com/chart/%5EABNY-EU,"55,179.82","+33,977.61",+160.26%
^BABO-TC,YIELDMAX BABA OPTION INCOME STR,https://finance.yahoo.com/chart/%5EBABO-TC,472.93,"+1,268.47",+159.45%
^GOOY-EU,-,https://finance.yahoo.com/chart/%5EGOOY-EU,"15,937.66","+42,929.45",+159.05%
^SHV-EU,iShares Lehman Short Treasury B,https://finance.yahoo.com/chart/%5ESHV-EU,"75,319.48","+46,239.95",+159.01%
^USNZ-TC,XTRACKERS NET ZERO PATHWAY PARI,https://finance.yahoo.com/chart/%5EUSNZ-TC,28.13,+77.27,+157.24%
^FBY-EU,-,https://finance.yahoo.com/chart/%5EFBY-EU,"20,317.79","+60,743.76",+150.26%
^GMOI-TC,GMO INTERNATIONAL VALUE ETF TOT,https://finance.yahoo.com/chart/%5EGMOI-TC,"33,732.75","+100,977.54",+150.16%
^SBIO-TC,ALPS Medical Breakthroughs ETF,https://finance.yahoo.com/chart/%5ESBIO-TC,16.65,+51.34,+148.00%
^MGC-EU,Vanguard Mega Cap 300 Index ETF,https://finance.yahoo.com/chart/%5EMGC-EU,521.78,+308.20,+144.31%
^RJMG-TC,FT RAYMOND JAMES MULTICAP GROWT,https://finance.yahoo.com/chart/%5ERJMG-TC,"1,652.98",+975.80,+144.10%
^MSFO-EU,YIELDMAX MSFT OPTION INCOME STR,https://finance.yahoo.com/chart/%5EMSFO-EU,"15,658.99","+51,845.56",+143.27%
^MNA-EU,NYLI MERGER ARBITRAGE ETF ESTIM,https://finance.yahoo.com/chart/%5EMNA-EU,"46,777.35","+27,440.21",+141.90%
^GEM-TC,Goldman Sachs ETF Trust Goldman,https://finance.yahoo.com/chart/%5EGEM-TC,418.04,+244.81,+141.32%
^LMBO-EU,DIREXION DAILY CRYPTO INDUSTRY,https://finance.yahoo.com/chart/%5ELMBO-EU,163.14,+571.83,+139.92%
^PYPY-EU,YIELDMAX PYPL OPTION INCOME STR,https://finance.yahoo.com/chart/%5EPYPY-EU,"12,538.14","+45,895.95",+137.59%
^FAI-EU,FIRST TRUST BLOOMBERG ARTIFICIA,https://finance.yahoo.com/chart/%5EFAI-EU,"6,278.94","+3,636.04",+137.58%
^VRAI-EU,Virtus Real Asset Income ETF Es,https://finance.yahoo.com/chart/%5EVRAI-EU,268.43,+155.43,+137.55%
^SPYC-EU,SIMPLIFY US EQUITY PLUS CONVEXI,https://finance.yahoo.com/chart/%5ESPYC-EU,"5,821.16","+3,344.46",+135.04%
^IVOV-EU,Vanguard S&P Mid Cap 400 Value,https://finance.yahoo.com/chart/%5EIVOV-EU,265.52,+151.64,+133.16%
^GDXY-EU,YIELDMAX GOLD MINERS OPTION INC,https://finance.yahoo.com/chart/%5EGDXY-EU,"10,590.54","+42,832.77",+132.85%
^DISO-EU,YIELDMAX DIS OPTION INCOME STRA,https://finance.yahoo.com/chart/%5EDISO-EU,"12,916.45","+52,549.40",+132.59%
^OCFS-EU,OTTER CREEK FOCUS STRATEGY ETF,https://finance.yahoo.com/chart/%5EOCFS-EU,"21,655.60","+12,273.50",+130.82%
