Symbol,company_url,Name,Link,Price_intraday,Change,Change_pct,Volume,Avg_Vol(3M),Market_Cap,P/E_Ratio(TTM)
PTPIF,https://finance.yahoo.com/quote/PTPIF/,PT Chandra Asri Pacific Tbk,https://finance.yahoo.com/chart/PTPIF,0.51,0.00,0.00%,"1,000",4,52.741B,-521.09
HCMLY,https://finance.yahoo.com/quote/HCMLY/,Holcim AG,https://finance.yahoo.com/chart/HCMLY,18.73,+0.04,+0.21%,"2,988","82,714",52.615B,+16.84
FANG,https://finance.yahoo.com/quote/FANG/,"Diamondback Energy, Inc.",https://finance.yahoo.com/chart/FANG,179.12,-0.44,-0.25%,1.378M,2.104M,52.301B,+10.54
SAFS,https://finance.yahoo.com/quote/SAFS/,"Safer Shot, Inc.",https://finance.yahoo.com/chart/SAFS,0.00,0.00,0.00%,"280,000","4,918",52.241B,-0.00
PBEV,https://finance.yahoo.com/quote/PBEV/,"Premium Beverage Group, Inc.",https://finance.yahoo.com/chart/PBEV,0.00,0.00,0.00%,519,3,52.209B,0.00
PSA,https://finance.yahoo.com/quote/PSA/,Public Storage,https://finance.yahoo.com/chart/PSA,297.70,+7.21,+2.48%,"388,588","743,565",52.152B,+34.75
TRPCF,https://finance.yahoo.com/quote/TRPCF/,Trip.com Group Limited,https://finance.yahoo.com/chart/TRPCF,64.76,0.00,0.00%,"1,689",1,51.935B,--
MPLX,https://finance.yahoo.com/quote/MPLX/,MPLX LP,https://finance.yahoo.com/chart/MPLX,50.81,+0.62,+1.24%,1.256M,1.86M,51.766B,+10.77
VOLAF,https://finance.yahoo.com/quote/VOLAF/,AB Volvo (publ),https://finance.yahoo.com/chart/VOLAF,25.30,0.00,0.00%,236,29,51.728B,+10.77
AEP,https://finance.yahoo.com/quote/AEP/,"American Electric Power Company, Inc.",https://finance.yahoo.com/chart/AEP,96.82,+1.70,+1.79%,2.456M,2.941M,51.563B,+18.77
LLDTF,https://finance.yahoo.com/quote/LLDTF/,Lloyds Banking Group plc,https://finance.yahoo.com/chart/LLDTF,0.68,0.00,0.00%,"5,000","31,050",51.318B,+7.91
ING,https://finance.yahoo.com/quote/ING/,ING Groep N.V.,https://finance.yahoo.com/chart/ING,16.45,+0.13,+0.80%,2.707M,2.213M,51.294B,+13.23
SCHW-PD,https://finance.yahoo.com/quote/SCHW-PD/,The Charles Schwab Corporation,https://finance.yahoo.com/chart/SCHW-PD,25.26,-0.10,-0.39%,"37,974","53,770",51.067B,+30.57
LYG,https://finance.yahoo.com/quote/LYG/,Lloyds Banking Group plc,https://finance.yahoo.com/chart/LYG,2.83,+0.01,+0.35%,20.433M,11.065M,50.985B,+7.91
VLVLY,https://finance.yahoo.com/quote/VLVLY/,AB Volvo (publ),https://finance.yahoo.com/chart/VLVLY,25.32,-0.05,-0.20%,"2,356","94,435",50.725B,+10.77
ALL,https://finance.yahoo.com/quote/ALL/,The Allstate Corporation,https://finance.yahoo.com/chart/ALL,191.10,+3.07,+1.63%,1.502M,1.595M,50.604B,+12.77
OVCHF,https://finance.yahoo.com/quote/OVCHF/,Oversea-Chinese Banking Corporation Limited,https://finance.yahoo.com/chart/OVCHF,11.75,0.00,0.00%,31,"1,485",50.568B,+9.71
BCS,https://finance.yahoo.com/quote/BCS/,Barclays PLC,https://finance.yahoo.com/chart/BCS,13.99,-0.05,-0.36%,23.785M,12.09M,50.366B,+9.38
SPG-PJ,https://finance.yahoo.com/quote/SPG-PJ/,"Simon Property Group, Inc.",https://finance.yahoo.com/chart/SPG-PJ,59.50,+0.71,+1.21%,659,910,50.307B,+23.86
BCLYF,https://finance.yahoo.com/quote/BCLYF/,Barclays PLC,https://finance.yahoo.com/chart/BCLYF,3.49,+0.07,+2.05%,"4,000","33,009",50.257B,+9.38
CMI,https://finance.yahoo.com/quote/CMI/,Cummins Inc.,https://finance.yahoo.com/chart/CMI,366.33,+5.53,+1.53%,"577,467","630,822",50.254B,+24.51
ANCTF,https://finance.yahoo.com/quote/ANCTF/,Alimentation Couche-Tard Inc.,https://finance.yahoo.com/chart/ANCTF,52.92,+0.03,+0.06%,50,"83,381",50.17B,--
HWM,https://finance.yahoo.com/quote/HWM/,Howmet Aerospace Inc.,https://finance.yahoo.com/chart/HWM,122.98,+1.12,+0.92%,2.891M,2.39M,49.962B,+44.49
TNCAF,https://finance.yahoo.com/quote/TNCAF/,TC Energy Corporation,https://finance.yahoo.com/chart/TNCAF,12.18,0.00,0.00%,600,279,49.956B,+13.84
VOLVF,https://finance.yahoo.com/quote/VOLVF/,AB Volvo (publ),https://finance.yahoo.com/chart/VOLVF,25.04,+0.24,+0.97%,113,"1,670",49.955B,+10.77
DSNKY,https://finance.yahoo.com/quote/DSNKY/,"Daiichi Sankyo Company, Limited",https://finance.yahoo.com/chart/DSNKY,26.35,+0.01,+0.04%,"23,830","158,709",49.879B,+35.35
VRT,https://finance.yahoo.com/quote/VRT/,Vertiv Holdings Co,https://finance.yahoo.com/chart/VRT,132.59,+0.59,+0.45%,4.131M,6.41M,49.766B,+83.20
INGVF,https://finance.yahoo.com/quote/INGVF/,ING Groep N.V.,https://finance.yahoo.com/chart/INGVF,15.56,0.00,0.00%,1,"29,144",49.761B,+13.23
URI,https://finance.yahoo.com/quote/URI/,"United Rentals, Inc.",https://finance.yahoo.com/chart/URI,757.42,+15.93,+2.15%,"796,240","577,062",49.704B,+22.45
PWR,https://finance.yahoo.com/quote/PWR/,"Quanta Services, Inc.",https://finance.yahoo.com/chart/PWR,336.19,+6.77,+2.06%,1.469M,"950,170",49.626B,+60.43
ROST,https://finance.yahoo.com/quote/ROST/,"Ross Stores, Inc.",https://finance.yahoo.com/chart/ROST,149.00,-0.01,-0.01%,2.255M,2.686M,49.433B,--
PSX,https://finance.yahoo.com/quote/PSX/,Phillips 66,https://finance.yahoo.com/chart/PSX,119.63,+0.63,+0.53%,1.986M,2.757M,49.406B,+16.59
CHTR,https://finance.yahoo.com/quote/CHTR/,"Charter Communications, Inc.",https://finance.yahoo.com/chart/CHTR,346.68,-1.32,-0.38%,"747,906",1.208M,49.292B,+12.75
SU,https://finance.yahoo.com/quote/SU/,Suncor Energy Inc.,https://finance.yahoo.com/chart/SU,39.07,-1.04,-2.59%,6.959M,4.185M,49.115B,+8.89
OXY,https://finance.yahoo.com/quote/OXY/,Occidental Petroleum Corporation,https://finance.yahoo.com/chart/OXY,52.30,-0.40,-0.76%,5.346M,11.305M,49.075B,+13.99
DSKYF,https://finance.yahoo.com/quote/DSKYF/,"Daiichi Sankyo Company, Limited",https://finance.yahoo.com/chart/DSKYF,25.50,0.00,0.00%,100,"15,526",48.97B,+35.35
CHBJF,https://finance.yahoo.com/quote/CHBJF/,China CITIC Bank Corporation Limited,https://finance.yahoo.com/chart/CHBJF,0.71,0.00,0.00%,"857,201","2,582",48.826B,+3.88
MPC,https://finance.yahoo.com/quote/MPC/,Marathon Petroleum Corporation,https://finance.yahoo.com/chart/MPC,151.70,-0.25,-0.16%,1.463M,2.602M,48.755B,+12.50
MET-PA,https://finance.yahoo.com/quote/MET-PA/,"MetLife, Inc.",https://finance.yahoo.com/chart/MET-PA,25.09,-0.02,-0.08%,"38,453","48,842",48.736B,+16.66
WFAFY,https://finance.yahoo.com/quote/WFAFY/,Wesfarmers Limited,https://finance.yahoo.com/chart/WFAFY,21.38,-0.57,-2.60%,756,"22,978",48.724B,+30.40
VLKPF,https://finance.yahoo.com/quote/VLKPF/,Volkswagen AG,https://finance.yahoo.com/chart/VLKPF,93.99,0.00,0.00%,100,863,48.667B,+3.35
VWAPY,https://finance.yahoo.com/quote/VWAPY/,Volkswagen AG,https://finance.yahoo.com/chart/VWAPY,9.50,-0.02,-0.21%,"6,917","288,401",48.41B,+3.35
MNST,https://finance.yahoo.com/quote/MNST/,Monster Beverage Corporation,https://finance.yahoo.com/chart/MNST,49.65,+0.39,+0.79%,6.85M,5.316M,48.286B,+36.17
ADYEY,https://finance.yahoo.com/quote/ADYEY/,Adyen N.V.,https://finance.yahoo.com/chart/ADYEY,15.31,+0.17,+1.12%,"95,250","470,368",48.193B,+48.17
ADYYF,https://finance.yahoo.com/quote/ADYYF/,Adyen N.V.,https://finance.yahoo.com/chart/ADYYF,"1,518.00",0.00,0.00%,1,181,48.154B,+48.17
CTA-PA,https://finance.yahoo.com/quote/CTA-PA/,"EIDP, Inc.",https://finance.yahoo.com/chart/CTA-PA,55.48,+0.57,+1.04%,275,704,48.146B,--
FICO,https://finance.yahoo.com/quote/FICO/,Fair Isaac Corporation,https://finance.yahoo.com/chart/FICO,"1,969.68",-60.79,-2.99%,"197,803","159,867",47.958B,+114.84
TRP,https://finance.yahoo.com/quote/TRP/,TC Energy Corporation,https://finance.yahoo.com/chart/TRP,46.17,-0.72,-1.54%,2.345M,2.022M,47.924B,+13.84
VLKAF,https://finance.yahoo.com/quote/VLKAF/,Volkswagen AG,https://finance.yahoo.com/chart/VLKAF,98.50,0.00,0.00%,"1,361","3,396",47.92B,+3.35
VWAGY,https://finance.yahoo.com/quote/VWAGY/,Volkswagen AG,https://finance.yahoo.com/chart/VWAGY,9.70,-0.08,-0.82%,"33,045","459,275",47.878B,+3.35
MSCI,https://finance.yahoo.com/quote/MSCI/,MSCI Inc.,https://finance.yahoo.com/chart/MSCI,609.97,+8.97,+1.49%,"425,374","471,424",47.804B,+40.08
O,https://finance.yahoo.com/quote/O/,Realty Income Corporation,https://finance.yahoo.com/chart/O,54.58,+1.41,+2.65%,3.603M,5.142M,47.769B,+54.46
BYMOF,https://finance.yahoo.com/quote/BYMOF/,Bayerische Motoren Werke Aktiengesellschaft,https://finance.yahoo.com/chart/BYMOF,67.80,0.00,0.00%,100,5,47.767B,--
HOCPF,https://finance.yahoo.com/quote/HOCPF/,HOYA Corporation,https://finance.yahoo.com/chart/HOCPF,137.02,0.00,0.00%,300,214,47.672B,+36.21
ITUB,https://finance.yahoo.com/quote/ITUB/,Itaú Unibanco Holding S.A.,https://finance.yahoo.com/chart/ITUB,5.31,-0.05,-0.93%,16.171M,25.531M,47.614B,+8.83
EIPAF,https://finance.yahoo.com/quote/EIPAF/,Eni S.p.A.,https://finance.yahoo.com/chart/EIPAF,15.24,0.00,0.00%,711,"3,606",47.466B,+17.94
BMWKY,https://finance.yahoo.com/quote/BMWKY/,Bayerische Motoren Werke AG,https://finance.yahoo.com/chart/BMWKY,26.23,+0.08,+0.31%,"3,835","149,316",47.423B,--
NEM,https://finance.yahoo.com/quote/NEM/,Newmont Corporation,https://finance.yahoo.com/chart/NEM,41.65,+0.28,+0.68%,9.416M,11.183M,47.416B,-35.22
DSDVY,https://finance.yahoo.com/quote/DSDVY/,DSV A/S,https://finance.yahoo.com/chart/DSDVY,100.76,+0.01,+0.01%,"23,401","76,591",47.139B,+28.28
DHI,https://finance.yahoo.com/quote/DHI/,"D.R. Horton, Inc.",https://finance.yahoo.com/chart/DHI,146.60,+1.19,+0.82%,3.467M,3.019M,47.084B,+11.24
DSDVF,https://finance.yahoo.com/quote/DSDVF/,DSV A/S,https://finance.yahoo.com/chart/DSDVF,199.12,0.00,0.00%,10,"3,884",46.978B,+28.28
ARZGF,https://finance.yahoo.com/quote/ARZGF/,Assicurazioni Generali S.p.A.,https://finance.yahoo.com/chart/ARZGF,29.05,0.00,0.00%,188,598,46.931B,+11.25
WMMVF,https://finance.yahoo.com/quote/WMMVF/,"Wal-Mart de México, S.A.B. de C.V.",https://finance.yahoo.com/chart/WMMVF,2.69,0.00,0.00%,200,"96,650",46.931B,+18.39
BAMXF,https://finance.yahoo.com/quote/BAMXF/,Bayerische Motoren Werke Aktiengesellschaft,https://finance.yahoo.com/chart/BAMXF,77.99,0.00,0.00%,700,"5,336",46.859B,--
GMGSF,https://finance.yahoo.com/quote/GMGSF/,Goodman Group,https://finance.yahoo.com/chart/GMGSF,23.31,0.00,0.00%,200,153,46.698B,-700.57
COR,https://finance.yahoo.com/quote/COR/,"Cencora, Inc.",https://finance.yahoo.com/chart/COR,240.89,+3.22,+1.35%,"862,781",1.19M,46.559B,+33.20
AIG,https://finance.yahoo.com/quote/AIG/,"American International Group, Inc.",https://finance.yahoo.com/chart/AIG,74.61,+1.54,+2.11%,4.627M,4.092M,46.539B,+13.41
DDOG,https://finance.yahoo.com/quote/DDOG/,"Datadog, Inc.",https://finance.yahoo.com/chart/DDOG,136.79,-4.16,-2.95%,5.912M,4.55M,46.471B,+248.20
DFS,https://finance.yahoo.com/quote/DFS/,Discover Financial Services,https://finance.yahoo.com/chart/DFS,185.04,-2.50,-1.33%,1.592M,1.612M,46.458B,+14.10
TRGP,https://finance.yahoo.com/quote/TRGP/,Targa Resources Corp.,https://finance.yahoo.com/chart/TRGP,212.95,+7.45,+3.63%,1.909M,1.704M,46.437B,+34.89
CHCJY,https://finance.yahoo.com/quote/CHCJY/,China CITIC Bank Corporation Limited,https://finance.yahoo.com/chart/CHCJY,11.98,0.00,0.00%,101,107,46.339B,+3.88
HKXCY,https://finance.yahoo.com/quote/HKXCY/,Hong Kong Exchanges and Clearing Limited,https://finance.yahoo.com/chart/HKXCY,36.63,+0.02,+0.05%,"22,193","71,729",46.327B,+33.03
D,https://finance.yahoo.com/quote/D/,"Dominion Energy, Inc.",https://finance.yahoo.com/chart/D,55.06,+1.41,+2.63%,4.479M,4.478M,46.251B,+20.87
DASTY,https://finance.yahoo.com/quote/DASTY/,Dassault Systèmes SE,https://finance.yahoo.com/chart/DASTY,35.36,+0.04,+0.11%,"14,239","169,701",46.247B,+37.46
ADTTF,https://finance.yahoo.com/quote/ADTTF/,Advantest Corporation,https://finance.yahoo.com/chart/ADTTF,62.50,0.00,0.00%,150,9,46.209B,+65.71
HES,https://finance.yahoo.com/quote/HES/,Hess Corporation,https://finance.yahoo.com/chart/HES,149.73,+0.81,+0.54%,1.298M,1.663M,46.135B,+16.66
WMMVY,https://finance.yahoo.com/quote/WMMVY/,"Wal-Mart de México, S.A.B. de C.V.",https://finance.yahoo.com/chart/WMMVY,26.44,-0.05,-0.19%,"63,908","177,283",46.128B,+18.39
UMGNF,https://finance.yahoo.com/quote/UMGNF/,Universal Music Group N.V.,https://finance.yahoo.com/chart/UMGNF,25.16,0.00,0.00%,600,"19,849",46.024B,+27.76
HKXCF,https://finance.yahoo.com/quote/HKXCF/,Hong Kong Exchanges and Clearing Limited,https://finance.yahoo.com/chart/HKXCF,35.42,0.00,0.00%,"1,600","1,259",46.016B,+33.03
UOVEY,https://finance.yahoo.com/quote/UOVEY/,United Overseas Bank Limited,https://finance.yahoo.com/chart/UOVEY,54.21,-0.04,-0.07%,"1,658","37,832",45.988B,+10.22
WCN,https://finance.yahoo.com/quote/WCN/,"Waste Connections, Inc.",https://finance.yahoo.com/chart/WCN,178.13,+1.43,+0.81%,"687,018","969,091",45.959B,+51.50
UNVGY,https://finance.yahoo.com/quote/UNVGY/,Universal Music Group N.V.,https://finance.yahoo.com/chart/UNVGY,12.55,+0.01,+0.08%,"12,251","272,934",45.909B,+27.76
FLUT,https://finance.yahoo.com/quote/FLUT/,Flutter Entertainment plc,https://finance.yahoo.com/chart/FLUT,257.56,+2.25,+0.88%,1.215M,1.508M,45.857B,-49.47
DASTF,https://finance.yahoo.com/quote/DASTF/,Dassault Systèmes SE,https://finance.yahoo.com/chart/DASTF,34.62,0.00,0.00%,125,"2,981",45.852B,+37.46
BKR,https://finance.yahoo.com/quote/BKR/,Baker Hughes Company,https://finance.yahoo.com/chart/BKR,46.33,+0.61,+1.33%,7.399M,6.459M,45.845B,+19.33
ARZGY,https://finance.yahoo.com/quote/ARZGY/,Assicurazioni Generali S.p.A.,https://finance.yahoo.com/chart/ARZGY,15.01,+0.09,+0.60%,"1,429","33,347",45.761B,+11.25
SCBFF,https://finance.yahoo.com/quote/SCBFF/,Standard Chartered PLC,https://finance.yahoo.com/chart/SCBFF,13.22,+0.22,+1.69%,600,"2,472",45.732B,+7.80
BAESY,https://finance.yahoo.com/quote/BAESY/,BAE Systems plc,https://finance.yahoo.com/chart/BAESY,59.89,+1.29,+2.20%,"35,702","203,347",45.447B,+22.41
SVNDF,https://finance.yahoo.com/quote/SVNDF/,"Seven & i Holdings Co., Ltd.",https://finance.yahoo.com/chart/SVNDF,17.51,0.00,0.00%,10,"2,129",45.434B,+33.20
MHVYF,https://finance.yahoo.com/quote/MHVYF/,"Mitsubishi Heavy Industries, Ltd.",https://finance.yahoo.com/chart/MHVYF,13.50,0.00,0.00%,240,"9,490",45.396B,--
HOCPY,https://finance.yahoo.com/quote/HOCPY/,HOYA Corporation,https://finance.yahoo.com/chart/HOCPY,130.32,+0.01,+0.01%,"1,021","18,980",45.341B,+36.21
PCG,https://finance.yahoo.com/quote/PCG/,PG&E Corporation,https://finance.yahoo.com/chart/PCG,16.95,+0.08,+0.47%,23.914M,18.287M,45.278B,+16.63
MHVIY,https://finance.yahoo.com/quote/MHVIY/,Mitsubishi Heavy Industries Ltd,https://finance.yahoo.com/chart/MHVIY,26.90,+0.01,+0.04%,"3,016","103,921",45.228B,--
LULU,https://finance.yahoo.com/quote/LULU/,Lululemon Athletica Inc.,https://finance.yahoo.com/chart/LULU,370.99,-5.67,-1.51%,1.803M,1.95M,45.181B,--
BAMGF,https://finance.yahoo.com/quote/BAMGF/,Brookfield Corporation,https://finance.yahoo.com/chart/BAMGF,12.10,0.00,0.00%,"1,073",19,45.164B,--
HNHAF,https://finance.yahoo.com/quote/HNHAF/,"Hon Hai Precision Industry Co., Ltd.",https://finance.yahoo.com/chart/HNHAF,3.26,0.00,0.00%,"1,000",15,45.135B,--
BAESF,https://finance.yahoo.com/quote/BAESF/,BAE Systems plc,https://finance.yahoo.com/chart/BAESF,14.86,-0.14,-0.93%,133,"31,401",45.105B,+22.41
NDAQ,https://finance.yahoo.com/quote/NDAQ/,"Nasdaq, Inc.",https://finance.yahoo.com/chart/NDAQ,78.39,+1.41,+1.83%,3.148M,2.588M,45.055B,+47.50
TGOPF,https://finance.yahoo.com/quote/TGOPF/,3i Group Ord,https://finance.yahoo.com/chart/TGOPF,46.37,0.00,0.00%,235,"1,001",45.016B,--
E,https://finance.yahoo.com/quote/E/,Eni S.p.A.,https://finance.yahoo.com/chart/E,28.75,-0.11,-0.38%,"451,681","297,985",44.772B,+17.94
AXON,https://finance.yahoo.com/quote/AXON/,"Axon Enterprise, Inc.",https://finance.yahoo.com/chart/AXON,585.84,+5.84,+1.01%,"465,892","912,888",44.673B,+156.08
ADDDF,https://finance.yahoo.com/quote/ADDDF/,adidas AG,https://finance.yahoo.com/chart/ADDDF,249.75,0.00,0.00%,2,475,44.593B,+101.66
ADDYY,https://finance.yahoo.com/quote/ADDYY/,adidas AG,https://finance.yahoo.com/chart/ADDYY,124.75,-0.20,-0.16%,"2,092","46,157",44.548B,+101.66
IFNNY,https://finance.yahoo.com/quote/IFNNY/,Infineon Technologies AG,https://finance.yahoo.com/chart/IFNNY,34.24,-0.07,-0.20%,"21,113","265,363",44.483B,+21.94
APO-PA,https://finance.yahoo.com/quote/APO-PA/,"Apollo Global Management, Inc.",https://finance.yahoo.com/chart/APO-PA,86.33,+0.25,+0.29%,"157,445","129,701",44.398B,+17.44
IFNNF,https://finance.yahoo.com/quote/IFNNF/,Infineon Technologies AG,https://finance.yahoo.com/chart/IFNNF,34.15,0.00,0.00%,"2,677","3,316",44.366B,+21.94
ARGNF,https://finance.yahoo.com/quote/ARGNF/,argenx SE,https://finance.yahoo.com/chart/ARGNF,631.40,-63.75,-9.17%,5,3,44.365B,-889.66
JAPAY,https://finance.yahoo.com/quote/JAPAY/,Japan Tobacco Inc.,https://finance.yahoo.com/chart/JAPAY,12.45,-0.02,-0.16%,"14,809","137,600",44.236B,+15.33
TGOPY,https://finance.yahoo.com/quote/TGOPY/,3i Group plc,https://finance.yahoo.com/chart/TGOPY,22.89,+0.47,+2.10%,"27,010","149,643",44.196B,--
VLO,https://finance.yahoo.com/quote/VLO/,Valero Energy Corporation,https://finance.yahoo.com/chart/VLO,139.37,+1.46,+1.06%,3.212M,2.707M,44.122B,+12.45
PEG,https://finance.yahoo.com/quote/PEG/,Public Service Enterprise Group Incorporated,https://finance.yahoo.com/chart/PEG,88.48,+2.21,+2.56%,1.821M,2.285M,44.083B,+21.38
ATEYY,https://finance.yahoo.com/quote/ATEYY/,Advantest Corporation,https://finance.yahoo.com/chart/ATEYY,59.25,+0.04,+0.07%,"14,882","81,855",44.053B,+65.71
DBOEF,https://finance.yahoo.com/quote/DBOEF/,Deutsche Börse AG,https://finance.yahoo.com/chart/DBOEF,239.20,0.00,0.00%,1,119,43.923B,+20.76
JAPAF,https://finance.yahoo.com/quote/JAPAF/,Japan Tobacco Inc.,https://finance.yahoo.com/chart/JAPAF,24.69,0.00,0.00%,100,176,43.838B,+15.33
CODYY,https://finance.yahoo.com/quote/CODYY/,Compagnie de Saint-Gobain S.A.,https://finance.yahoo.com/chart/CODYY,17.49,-0.20,-1.13%,"65,026","98,445",43.463B,+15.43
LZAGY,https://finance.yahoo.com/quote/LZAGY/,Lonza Group AG,https://finance.yahoo.com/chart/LZAGY,60.00,+0.48,+0.81%,"5,197","66,877",43.27B,+70.43
DBOEY,https://finance.yahoo.com/quote/DBOEY/,Deutsche Börse AG,https://finance.yahoo.com/chart/DBOEY,23.56,+0.01,+0.04%,"2,516","92,540",43.262B,+20.76
HNDAF,https://finance.yahoo.com/quote/HNDAF/,"Honda Motor Co., Ltd.",https://finance.yahoo.com/chart/HNDAF,9.31,-0.49,-5.00%,5,"91,380",43.256B,+6.49
HMC,https://finance.yahoo.com/quote/HMC/,"Honda Motor Co., Ltd.",https://finance.yahoo.com/chart/HMC,27.97,-0.20,-0.71%,"953,394",1.514M,43.253B,+6.49
SSREY,https://finance.yahoo.com/quote/SSREY/,Swiss Re AG,https://finance.yahoo.com/chart/SSREY,37.23,+0.04,+0.11%,"1,110","24,601",43.247B,--
PPCCF,https://finance.yahoo.com/quote/PPCCF/,PICC Property and Casualty Company Limited,https://finance.yahoo.com/chart/PPCCF,1.60,0.00,0.00%,"1,444",40,43.185B,+11.06
TEL,https://finance.yahoo.com/quote/TEL/,TE Connectivity plc,https://finance.yahoo.com/chart/TEL,143.69,+0.22,+0.15%,1.883M,1.543M,42.987B,+14.97
TCOM,https://finance.yahoo.com/quote/TCOM/,Trip.com Group Limited,https://finance.yahoo.com/chart/TCOM,65.81,+0.79,+1.22%,2.099M,3.126M,42.849B,--
FAST,https://finance.yahoo.com/quote/FAST/,Fastenal Company,https://finance.yahoo.com/chart/FAST,74.77,+0.50,+0.67%,3.944M,2.71M,42.835B,+41.44
RBLX,https://finance.yahoo.com/quote/RBLX/,Roblox Corporation,https://finance.yahoo.com/chart/RBLX,65.26,+1.52,+2.38%,9.82M,8.167M,42.825B,-32.66
PLDGP,https://finance.yahoo.com/quote/PLDGP/,"Prologis, Inc.",https://finance.yahoo.com/chart/PLDGP,56.00,-0.25,-0.44%,100,386,42.82B,+35.21
DANOY,https://finance.yahoo.com/quote/DANOY/,Danone S.A.,https://finance.yahoo.com/chart/DANOY,13.28,+0.02,+0.15%,"32,047","496,668",42.772B,+41.50
CODGF,https://finance.yahoo.com/quote/CODGF/,Compagnie de Saint-Gobain S.A.,https://finance.yahoo.com/chart/CODGF,86.05,0.00,0.00%,"2,100",196,42.767B,+15.43
DAL,https://finance.yahoo.com/quote/DAL/,"Delta Air Lines, Inc.",https://finance.yahoo.com/chart/DAL,66.18,+0.68,+1.04%,5.088M,7.992M,42.705B,+8.95
GPDNF,https://finance.yahoo.com/quote/GPDNF/,Danone S.A.,https://finance.yahoo.com/chart/GPDNF,66.08,0.00,0.00%,148,"3,293",42.565B,+41.50
KR,https://finance.yahoo.com/quote/KR/,The Kroger Co.,https://finance.yahoo.com/chart/KR,58.62,-0.07,-0.12%,3.01M,5.198M,42.441B,--
KDP,https://finance.yahoo.com/quote/KDP/,Keurig Dr Pepper Inc.,https://finance.yahoo.com/chart/KDP,31.28,+0.31,+1.00%,7.348M,11.248M,42.43B,+20.20
FIS,https://finance.yahoo.com/quote/FIS/,"Fidelity National Information Services, Inc.",https://finance.yahoo.com/chart/FIS,78.71,+0.67,+0.86%,1.695M,3.162M,42.374B,+92.39
CTVA,https://finance.yahoo.com/quote/CTVA/,"Corteva, Inc.",https://finance.yahoo.com/chart/CTVA,61.63,+0.71,+1.17%,2.188M,3.407M,42.358B,+60.90
MET-PE,https://finance.yahoo.com/quote/MET-PE/,"MetLife, Inc.",https://finance.yahoo.com/chart/MET-PE,23.87,+0.20,+0.84%,"119,536","96,132",42.333B,+16.66
AMX,https://finance.yahoo.com/quote/AMX/,"América Móvil, S.A.B. de C.V.",https://finance.yahoo.com/chart/AMX,13.82,-0.22,-1.57%,1.285M,1.613M,42.294B,+26.73
KMB,https://finance.yahoo.com/quote/KMB/,Kimberly-Clark Corporation,https://finance.yahoo.com/chart/KMB,126.65,+1.09,+0.87%,2.088M,2.167M,42.236B,+17.13
NWG,https://finance.yahoo.com/quote/NWG/,NatWest Group plc,https://finance.yahoo.com/chart/NWG,10.13,+0.04,+0.40%,3.556M,2.24M,42.226B,+7.56
AEM,https://finance.yahoo.com/quote/AEM/,Agnico Eagle Mines Limited,https://finance.yahoo.com/chart/AEM,84.18,-0.16,-0.19%,1.347M,2.032M,42.218B,+37.52
LZAGF,https://finance.yahoo.com/quote/LZAGF/,Lonza Group AG,https://finance.yahoo.com/chart/LZAGF,584.12,0.00,0.00%,23,222,42.191B,+70.43
GLW,https://finance.yahoo.com/quote/GLW/,Corning Incorporated,https://finance.yahoo.com/chart/GLW,49.24,+0.43,+0.88%,2.377M,4.31M,42.16B,+257.76
PRU,https://finance.yahoo.com/quote/PRU/,"Prudential Financial, Inc.",https://finance.yahoo.com/chart/PRU,118.40,-1.66,-1.38%,2.3M,1.467M,42.142B,+11.13
CRARF,https://finance.yahoo.com/quote/CRARF/,Crédit Agricole S.A.,https://finance.yahoo.com/chart/CRARF,14.54,0.00,0.00%,113,623,42.022B,+6.50
NBNKF,https://finance.yahoo.com/quote/NBNKF/,Nordea Bank Abp,https://finance.yahoo.com/chart/NBNKF,11.53,0.00,0.00%,"3,000","11,215",41.914B,+7.43
SSREF,https://finance.yahoo.com/quote/SSREF/,Swiss Re AG,https://finance.yahoo.com/chart/SSREF,144.18,0.00,0.00%,"2,000",158,41.871B,--
AME,https://finance.yahoo.com/quote/AME/,"AMETEK, Inc.",https://finance.yahoo.com/chart/AME,180.86,+0.80,+0.44%,1.699M,1.107M,41.834B,+34.05
CRARY,https://finance.yahoo.com/quote/CRARY/,Crédit Agricole S.A.,https://finance.yahoo.com/chart/CRARY,7.14,+0.02,+0.28%,"18,197","269,350",41.62B,+6.50
ALC,https://finance.yahoo.com/quote/ALC/,Alcon Inc.,https://finance.yahoo.com/chart/ALC,84.14,+0.87,+1.04%,1.199M,"855,156",41.616B,+37.36
HLN,https://finance.yahoo.com/quote/HLN/,Haleon plc,https://finance.yahoo.com/chart/HLN,9.19,+0.08,+0.88%,18.202M,6.888M,41.552B,+27.20
PINXY,https://finance.yahoo.com/quote/PINXY/,The People's Insurance Company (Group) of China Limited,https://finance.yahoo.com/chart/PINXY,9.70,0.00,0.00%,"1,500",28,41.482B,+4.37
LHX,https://finance.yahoo.com/quote/LHX/,"L3Harris Technologies, Inc.",https://finance.yahoo.com/chart/LHX,218.48,+4.34,+2.03%,1.058M,"971,513",41.439B,+41.33
UCBJF,https://finance.yahoo.com/quote/UCBJF/,UCB SA,https://finance.yahoo.com/chart/UCBJF,192.00,0.00,0.00%,4,54,41.374B,+149.53
TAK,https://finance.yahoo.com/quote/TAK/,Takeda Pharmaceutical Company Limited,https://finance.yahoo.com/chart/TAK,13.05,-0.05,-0.38%,2.158M,1.677M,41.373B,+23.08
